NODCCODE,Scientificname,Commonname
8741130707,Myrichthys breviceps,Sharptail Eel
8741130708,Myrichthys ocellatus,Goldspotted Eel
8741130800,Myrophis spp.,.
8741130802,Myrophis punctatus,Speckled Worm Eel
8741131000,Ophichthus spp.,.
8741131001,Ophichthus gomesii,Shrimp Eel
8741131002,Ophichthus melanoporus,Blackpored Eel
8741131004,Ophichthus ophis,Spotted Snake Eel
8741131009,Ophichthus rex,King Snake Eel
8741131010,Ophichthus cruentifer,Margined Snake Eel
8741131013,Ophichthus hyposagmatus,Faintsaddled Snake Eel
8741131014,Ophichthus omorgmus,Dottedline Snake Eel
8741131015,Ophichthus puncticeps,Palespotted Eel
8741131016,Ophichthus menezesi,.
8741131400,Pseudomyrophis spp.,.
8741131402,Pseudomyrophis fugesae,Diminutive Worm Eel
8741131600,Aprognathodon spp.,.
8741131601,Aprognathodon platyventris,Stripe Eel
8741131700,Caralophia spp.,.
8741131701,Caralophia loxochila,Slantlip Eel
8741132500,Ichthyapus spp.,.
8741132502,Ichthyapus ophioneus,Surf Eel
8741132600,Apterichtus spp.,.
8741132602,Apterichtus ansp,Academy Eel
8741132603,Apterichtus kendalli,Finless Eel
8741132800,Ethadophis spp.,.
8741132803,Ethadophis akkistikos,Indifferent Eel
8741133100,Echiophis spp.,.
8741133101,Echiophis intertinctus,Spotted Spoon-nose Eel
8741133102,Echiophis punctifer,Stippled Spoon-nose Eel
8741170000,Synaphobranchidae spp.,.
8741170100,Dysomma spp.,.
8741170101,Dysomma anguillare,Shortbelly Eel
8743030000,Notacanthidae spp.,Deep-sea Spiny Eels
8743030100,Polyacanthonotus spp.,.
8743030102,Polyacanthonotus rostrata,Smallmouth Spiny Eel
8743030300,Notacanthus spp.,.
8743030301,Notacanthus chemnitzii,Snubnosed Spiny Eel
8747000000,Clupeiformes spp.,Herrings and Anchovies
8747010000,Clupeidae spp.,Herrings
8747010100,Alosa spp.,.
8747010101,Alosa sapidissima,American Shad
8747010102,Alosa aestivalis,Blueback Herring
8747010103,Alosa mediocris,Hickory Shad
8747010104,Alosa alabamae,Alabama Shad
8747010106,Alosa chrysochloris,Skipjack Herring
8747010400,Brevoortia spp.,Menhadens
8747010401,Brevoortia tyrannus,Atlantic Menhaden
8747010403,Brevoortia patronus,Gulf Menhaden
8747010404,Brevoortia smithi,Yellowfin Menhaden
8747010500,Dorosoma spp.,Shad
8747010501,Dorosoma cepedianum,Gizzard Shad
8747010502,Dorosoma petenense,Threadfin Shad
8747010600,Etrumeus spp.,.
8747010601,Etrumeus teres,Round Herring
8747010700,Opisthonema spp.,.
8747010701,Opisthonema oglinum,Atlantic Thread Herring
8747010800,Harengula spp.,.
8747010801,Harengula clupeola,False Pilchard
8747010802,Harengula humeralis,Redear Sardine
8747010803,Harengula jaguana,Scaled Sardine
8747010900,Jenkinsia spp.,.
8747010901,Jenkinsia lamprotaenia,Dwarf Herring
8747010902,Jenkinsia majua,Little-eye Herring
8747010903,Jenkinsia stolifera,Shortband Herring
8747011000,Sardinella spp.,.
8747011001,Sardinella aurita,Spanish Sardine
8747020000,Engraulidae spp.,.
8747020100,Engraulis spp.,.
8747020103,Engraulis eurystole,Silver Anchovy
8747020200,Anchoa spp.,Anchovies
8747020201,Anchoa hepsetus,Striped Anchovy
8747020202,Anchoa mitchilli,Bay Anchovy
8747020203,Anchoa cubana,Cuban Anchovy
8747020204,Anchoa lamprotaenia,Bigeye Anchovy
8747020205,Anchoa lyolepis,Dusky Anchovy
8747020209,Anchoa cayorum,Key Anchovy
8747020300,Anchoviella spp.,.
8747020304,Anchoviella perfasciata,Flat Anchovy
8751020000,Notopteridae spp.,Knifefishes
8751020300,Chitala spp.,Featherbacks
8751020301,Chitala ornata,Clown Knifefish
8756010000,Argentinidae spp.,Herring Smelts
8756010200,Argentina spp.,Argentines
8756010205,Argentina striata,Striated Argentine
8756010299,Argentina georgei,Blackbelly Argentine
8756010300,Glossanodon spp.,.
8756010302,Glossanodon pygmaeus,Pygmy Argentine
8758010000,Esocidae spp.,.
8758010100,Esox spp.,.
8758010102,Esox americanus,Pickerel
8758010103,Esox niger,Chain Pickerel
8758020100,Umbra spp.,.
8758020101,Umbra pygmaea,Eastern Mudminnow
8762010100,Aulopus spp.,.
